PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/24/2023,1:05:16 PM,1,1,Nick Parker,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,89.00628365152491,-1.8639580562684301,-4.079959261375633,2254.5518869729954,231.80711418855273,1:45,6.090929116286831,1.7015929988431102,5.5655284599072665,-23.700552710702826,12.341136772733936,12.837063613065174,2.7306952719995694,1.101173295934553,80.99840102577592,-5.509541430864295,2.4174908394799157,0.4306775144388516,,,,,,,,,,,,-6.801417325256734,6.683379268338461,-0.027342125948012067,49.99999999999997,5.596521383981101,-0.4886578100816493,-129.62836451074492,-3.2095904157772694,-11.472709364415131,29.28575680784782,-20.900448180441444,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,0cfabf1e-ca66-11ed-a235-d116a3450273,89.18318497591406,6.089732827127326,1.7062651269191431,-1.850155092741006,-4.136272339547339,81.14901453653324,2.732193282867246,1.0973419461732064,-5.485967630919367,2.357810615091023,0.4305421650990543,13.360370240168667,10.906772658160442,-16.270515778084714,1.6568611794657393,2164.2561693398548,-631.6640282047673,95.99495943496011,-0.5935472149592217,-0.28017276153837006,-0.7544567100278948,,,,,,,,,,,,,,,,,0.9979694483459406,1,,,high,high,88.50882455692191,1.9191015479227762,55.01447154009273,Kyle Teel,,Virginia 2023
2,03/24/2023,1:05:32 PM,1,2,Nick Parker,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,89.03364286120565,-3.1835617828942753,-5.371249256608416,2248.704732146694,227.65309745471555,1:30,6.018905006565006,1.722252910105148,5.593774704513455,-22.962680966808826,13.159413275749365,11.265631674645991,1.2244630812706747,0.2000732461951363,80.889894649282,-7.215727655062053,0.8537037398412151,0.4325715802717005,,,,,,,,,,,,-7.550756312143681,7.929701247572756,-1.2609040044779716,50.0,5.725130048327893,11.717709813786913,-128.74424030022428,-7.981324762261727,-12.62907957419031,27.59739074914408,-18.911162543268635,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,164c0711-ca66-11ed-90e3-7fbedff33cdd,89.20990169764012,6.017960091721035,1.7265040550609951,-3.1726281146602124,-5.422770648210859,81.03754398915032,1.2258015196100494,0.19665594621299176,-7.194227368136545,0.7994354590892447,0.43243136180301583,11.746027398213252,11.822485476785788,-25.074339158165657,5.19086990342314,2036.7838548531156,-952.9871462871978,90.57586910971317,-0.6101351340775383,-0.4237938101270602,-0.6694280578689346,,,,,,,,,,,,,,,,,0.9973000878410049,1,,,high,high,85.32821362687685,6.535025836387049,54.98622529548654,Kyle Teel,,Virginia 2023
3,03/24/2023,1:05:51 PM,1,3,Nick Parker,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,Windup,1,Top,0,2,0,Fastball,,BallCalled,,,,0,0,,89.63422460817095,-3.430402844577088,-4.722955149759329,2248.0111140620447,231.2961009475711,1:45,5.9940042553255335,1.6478400084798328,5.712099514234274,-22.960058248137724,12.487032942350421,12.748135326970129,1.0505841057683005,0.7594533427953288,81.4465951990946,-7.230366500389323,1.6532494289939443,0.42851085084104024,,,,,,,,,,,,-8.192605241490362,7.6793168453476115,-1.253742642099188,50.000000000000014,5.686657940477334,10.285474340437757,-129.72795473206557,-8.581671822631698,-13.902106096155608,28.215073195181947,-19.142947221961716,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,21fe2f54-ca66-11ed-93e0-b3c9459cb0b6,89.80815944861561,5.992832372744963,1.652417928575618,-3.416899124736824,-4.777636164432383,81.59161984429406,1.0519983362213203,0.7558683569532516,-7.207797126810605,1.596226482320132,0.4283747622183916,13.256210297393347,11.127546619518872,-13.289977070926302,6.417771601494159,2187.8073548487446,-516.7716584877849,97.32191007256566,-0.6085497813161772,-0.229879494480792,-0.7594883683620759,,,,,,,,,,,,,,,,,0.9977585740380455,1,,,high,high,84.22400273811664,4.96113128118594,54.86790048576572,Kyle Teel,,Virginia 2023
4,03/24/2023,1:06:08 PM,1,4,Nick Parker,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,Windup,1,Top,0,2,1,Changeup,,BallCalled,,,,0,0,,82.57956340107035,-3.5800662484155894,-6.699557849093142,1946.45361156663,250.12786950215502,2:15,6.060783803505131,1.4994689610059813,5.571376374233581,-36.15348912903203,6.102791055287888,14.590554367681579,-0.3280619177936241,-3.5798401974089264,75.73177727977358,-10.241167283585243,-3.9926274730471984,0.46786133336276414,,,,,,,,,,,,-9.696161025168887,4.283730254494862,-0.9208779422016233,49.99999999999997,5.721108911471081,13.521020775117325,-119.06852835298542,-8.653950958370501,-13.875189119981654,23.54655549877706,-26.044039238005798,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,2bdd3d42-ca66-11ed-8fb5-0bbba6200afd,82.71641800884288,6.055619215369485,1.5029880944263057,-3.5198710618295026,-6.740613237263157,75.84321420478227,-0.32257223704648286,-3.583323094042831,-10.168997262064797,-4.03905480675654,0.46773109114847455,14.973744669052365,4.133688073204083,33.047101513561394,72.1112923011186,1631.56130359284,1061.4562518536552,83.82225468397654,-0.2849304020153149,0.5453283065910456,-0.7883093961370331,,,,,,,,,,,,,,,,,0.9973392320948647,1,,,high,medium,25.099889912782626,80.76346124652969,55.00862362576642,Kyle Teel,,Virginia 2023
5,03/24/2023,1:06:37 PM,1,5,Nick Parker,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,Windup,1,Top,0,3,1,Fastball,,BallCalled,Walk,,,0,0,,90.40876618941915,-1.3794353465729179,-4.395738785717707,2185.509243372981,229.47185229091798,1:45,6.059174648300271,1.7343441346605049,5.574667297326705,-23.125681025709877,12.229107449546316,11.963751694477113,2.96305216575456,1.1483020694981234,81.47586422726509,-5.324780039171363,0.8797493361008092,0.4253249015574692,,,,,,,,,,,,-7.666390452579246,7.014408603990875,-1.357557845079005,50.000000000000036,5.923293815123646,9.655618766137763,-131.06667725101724,-3.9540573010132958,-13.266502960981665,29.043790699036894,-20.035785419833946,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,3d4600e6-ca66-11ed-a0c0-41553c43c677,90.58958512524667,6.058170973005201,1.7386865577054464,-1.3679488245541107,-4.44807947551088,81.6269647119431,2.964388537202483,1.1448244508727294,-5.303195216635267,0.824612493299841,0.4251846511387365,12.491798351132253,10.75459267067624,-17.043011008817114,18.71174418686253,2089.5326204087155,-640.5498271927228,95.60850070731611,-0.6212846266336609,-0.2930895072327113,-0.7267076120825755,,,,,,,,,,,,,,,,,0.9965870959016755,1,,,high,high,73.15942555336777,-53.55315937826578,55.00533270267329,Kyle Teel,,Virginia 2023
6,03/24/2023,1:07:18 PM,2,1,Nick Parker,,Right,Virginia 2023,Jaime Ferrer,ferreja48,Right,Florida state,Stretch,1,Top,0,0,0,Slider,,StrikeCalled,,,,0,0,,86.85716164397941,-2.9488141965998422,-5.2481442645862515,2364.1399558931575,223.7226769100147,1:30,6.065199776628615,1.7859127573884657,5.702201949496301,-26.668915222980818,11.024630081551226,5.796418327253648,1.5113506505411751,-1.0694328481164226,78.90874894589636,-6.9301421338133915,-2.291698105881898,0.4418806825047225,,,,,,,,,,,,-4.581430870386644,6.72664147946362,-1.3415617129991897,50.0,5.795870367627346,11.354002430238651,-125.690739505534,-7.3817607462885615,-7.318657200006914,25.81272360379713,-21.428502072939544,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,55b22d00-ca66-11ed-bbe6-ed86817a8ccb,87.0298521444096,6.063295371565146,1.7898898562335817,-2.9267888639675146,-5.295419799995408,79.05365655897334,1.5134712968849529,-1.0726247140127525,-6.896279687807106,-2.341918257926501,0.44173515995639934,6.236651729370883,9.59726648488478,-59.41107144749312,87.79775313452792,1203.051895729871,-2035.1471365066618,50.88750743080966,-0.3677607834165209,-0.8608403793665403,-0.35171842066195175,,,,,,,,,,,,,,,,,0.9953394334943805,1,,,high,high,10.981776697820093,-65.54860809457955,54.8777980505037,Kyle Teel,,Virginia 2023
7,03/24/2023,1:08:13 PM,2,2,Nick Parker,,Right,Virginia 2023,Jaime Ferrer,ferreja48,Right,Florida state,Stretch,1,Top,0,0,1,Slider,,BallCalled,,,,0,0,,86.8036592972107,-3.1334479945557363,-5.786294588388971,2415.659960861804,224.19566595419172,1:30,6.088340116290822,1.748010417326433,5.657670166435864,-27.025949115616953,10.852053365473722,5.291145796786576,1.3812077694966713,-1.5747940834310534,78.50916149507668,-7.01253758082651,-2.9589173327678533,0.44296055690588404,,,,,,,,,,,,-4.4554657712602195,6.675635010851973,-1.252638998515513,50.000000000000014,5.799969191027014,12.538981643539964,-125.47139297891731,-7.800931807567175,-7.094517621426851,25.659067919784125,-21.54431688236225,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,762fbe6b-ca66-11ed-b30d-9f2bdbd1a9da,86.97530454522992,6.086359789529248,1.7519723501022957,-3.1102621810375823,-5.833639363197759,78.65249449294109,1.383426457483165,-1.578028983559032,-6.977094335488654,-3.009768750256411,0.4428165395299415,5.733672988474502,9.41973824579131,-62.278656577516855,85.94149689230271,1123.6969537342109,-2138.391498926075,46.51718254804885,-0.33351114637591844,-0.8852204091519523,-0.32427633657710936,,,,,,,,,,,,,,,,,0.9962531100655602,1,,,high,high,12.652461361923995,83.90325353035998,54.922329833564135,Kyle Teel,,Virginia 2023
8,03/24/2023,1:08:36 PM,2,3,Nick Parker,,Right,Virginia 2023,Jaime Ferrer,ferreja48,Right,Florida state,Stretch,1,Top,0,1,1,Fastball,,FoulTip,,,,0,0,,89.36916321831619,-2.2457131507076973,-5.409180494626523,2223.6744350640374,231.26832206568452,1:45,6.083401579863949,1.6501686389747174,5.624823105621954,-23.43126546897542,12.345528145688512,12.274570536650302,2.3041835091748384,-0.04258021768063095,80.13017048814955,-5.769427857630895,-0.13031734282353832,0.4304990825659946,,,,,,,,,,,,-8.11694985754482,7.2367189087799035,-1.189002006844397,49.99999999999998,5.872873047899051,11.824257988931672,-129.3224202203338,-5.898157730097312,-13.689852431753142,28.0003427669397,-19.968773504469457,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,84152a9e-ca66-11ed-903e-c32b8711e8c1,89.54787614852245,6.082229098339888,1.654825018170296,-2.2323190821441967,-5.464220958923204,80.278794067416,2.305687987560566,-0.046256586273366304,-5.745103040625242,-0.188599471661894,0.43035887272343903,12.787623065118545,10.97484690147453,-20.380253276416127,2.6250372337193744,2084.477010535905,-774.3923977575349,93.74020664476794,-0.586508145925573,-0.34824899973958373,-0.7312529172203871,,,,,,,,,,,,,,,,,0.9975562872415591,1,,,high,high,87.63746477591806,4.797013447814791,54.95517689437804,Kyle Teel,,Virginia 2023
9,03/24/2023,1:09:25 PM,2,4,Nick Parker,,Right,Virginia 2023,Jaime Ferrer,ferreja48,Right,Florida state,Stretch,1,Top,0,1,2,Slider,,InPlay,,LineDrive,Single,0,0,,86.12952966756059,-1.3381800249938913,-4.513970892972728,2451.232703679454,208.0811528006671,1:00,6.108939676307201,1.6697585417368608,5.634111861256553,-26.84794032642192,11.452897178861413,3.096308067225234,2.756441498369729,-0.2552822044345254,78.70664468779992,-5.972587379973676,-1.4894655361790472,0.44542609645353864,107.82407344298116,11.93900668732106,-16.62838828214024,715.2760617795303,,,,261.049898157716,,-19.02735929785162,2.162761151390942,-2.9380871572810907,6.488190997144554,-1.281318565133522,49.99999999999997,5.9755003839360565,9.756613281392099,-124.88377850546398,-3.815935536688886,-4.629277763748976,25.691522510334824,-21.951194816152874,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,a16bd154-ca66-11ed-a500-97107f8a0f13,86.30415000389176,6.1070559033120935,1.6732046803220872,-1.3159719224553093,-4.555796708417758,78.85288106657507,2.7586132169212854,-0.2580597819323421,-5.937824531485244,-1.533316858602725,0.4452773544970757,3.4866700168030325,9.961912673170245,-65.41049364395306,80.85109408420556,1019.9928596086502,-2228.936143978794,41.61142506289088,-0.36713001158109554,-0.9093123393111641,-0.19587400075794378,-30.187826900427773,101.08009790148851,22.30559860422269,0.3889350071786704,-0.4446140970241795,2.518717409277521,-85.10738644099767,246.78691639010475,-15.846811792549012,13.728490238813928,0.1899432585044154,0.4686888131764359,0.23118065775122268,0.8525762721803697,,,0.9974752987011808,1,0.9967563883022246,64.46176766326856,high,high,17.2337740665373,85.79924065900205,54.94588813874344,Kyle Teel,,Virginia 2023
10,03/24/2023,1:10:25 PM,3,1,Nick Parker,,Right,Virginia 2023,James Tibbs,tibbsja42,Left,Florida state,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,89.60285778468207,-3.4642751496906805,-4.669468081015738,2219.628364987864,230.22376176851367,1:45,6.076359548202348,1.8328641367534122,5.654941616280878,-22.86968437320252,12.677913624300242,12.601142628456962,1.2002261583019815,0.8470900271967348,81.71720792016372,-7.2789273747295535,1.8849367662013803,0.4291179214098238,,,,,,,,,,,,-8.084393684459176,7.777248845794651,-1.4387513532934872,50.0,5.76241242623063,10.160329643148605,-129.67580196991426,-8.659235733391595,-13.707662685918686,28.18853430988894,-18.98717275100142,Virginia 2023,Florida State,dav02,NCAA D1,ACC,77c9737c-569b-44c3-b5d7-deaa14ab861e,c54eb43a-ca66-11ed-8fb9-b725865335bb,89.77722540242213,6.0751942077965335,1.8373466754304801,-3.450910179571187,-4.722798708300031,81.86278415916999,1.201605037925419,0.8435865634345299,-7.257076406316074,1.8296102579402884,0.4289806194219427,13.096728761100033,11.315150393634713,-11.009220495418033,4.315564274886978,2178.7793542386453,-423.87569428091814,98.15964638974857,-0.6280166039070915,-0.1909669658971202,-0.7544049066337329,,,,,,,,,,,,,,,,,0.997957242068167,1,,,high,high,86.11599200589365,1.9833177605955408,54.92505838371912,Kyle Teel,,Virginia 2023
